threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,positive_prediction_rate,trial_name,model_family
0.016386408358812332,0.06493534025863897,0.9880645161290322,0.1218619454943306,41374,44107,37,3063,47170,0.5325069710208735,xgb_d8_sqrt_weight,XGBoost
0.01623149961233139,0.06465362621594818,0.9883870967741936,0.12136816462339825,41154,44327,36,3064,47391,0.5350018627019338,xgb_d8_sqrt_weight,XGBoost
0.016074659302830696,0.0643521727259362,0.9883870967741936,0.12083686628675092,40932,44549,36,3064,47613,0.5375080434856233,xgb_d8_sqrt_weight,XGBoost
0.015940748155117035,0.06407442249398976,0.9887096774193549,0.12034946500441739,40711,44770,35,3065,47835,0.5400142242693128,xgb_d8_sqrt_weight,XGBoost
0.015782590955495834,0.06377710266760997,0.9887096774193549,0.11982485632745613,40488,44993,35,3065,48058,0.5425316941556315,xgb_d8_sqrt_weight,XGBoost
0.015644604340195656,0.06348384424192212,0.9887096774193549,0.11930712339431684,40266,45215,35,3065,48280,0.5450378749393211,xgb_d8_sqrt_weight,XGBoost
0.015519093722105026,0.06319066468744845,0.9887096774193549,0.11878924114409735,40042,45439,35,3065,48504,0.547566633928269,xgb_d8_sqrt_weight,XGBoost
0.015396855771541595,0.06292457670600309,0.9890322580645161,0.11832127351664255,39822,45659,34,3066,48725,0.5500615256093293,xgb_d8_sqrt_weight,XGBoost
0.015254450030624866,0.06264046091611164,0.9890322580645161,0.11781885255351035,39601,45880,34,3066,48946,0.5525564172903896,xgb_d8_sqrt_weight,XGBoost
0.015105977654457092,0.06235509456985967,0.9890322580645161,0.11731394681461642,39377,46104,34,3066,49170,0.5550851762793375,xgb_d8_sqrt_weight,XGBoost
0.014970757067203522,0.06209507612568837,0.9893548387096774,0.11685590185171074,39156,46325,33,3067,49392,0.5575913570630271,xgb_d8_sqrt_weight,XGBoost
0.01483003981411457,0.06183863100397073,0.9896774193548387,0.11640392313091646,38936,46545,32,3068,49613,0.5600862487440873,xgb_d8_sqrt_weight,XGBoost
0.014689740724861622,0.061564393787374085,0.9896774193548387,0.11591793554237352,38715,46766,32,3068,49834,0.5625811404251476,xgb_d8_sqrt_weight,XGBoost
0.014570769853889942,0.061292578164019576,0.9896774193548387,0.11543598908851471,38494,46987,32,3068,50055,0.5650760321062078,xgb_d8_sqrt_weight,XGBoost
0.014437561854720116,0.06103940014717874,0.99,0.11498904063395717,38271,47210,31,3069,50279,0.5676047910951558,xgb_d8_sqrt_weight,XGBoost
0.014314952306449413,0.060790875428209344,0.9903225806451613,0.11455010167720753,38050,47431,30,3070,50501,0.5701109718788453,xgb_d8_sqrt_weight,XGBoost
0.014198757708072662,0.060526004495090886,0.9903225806451613,0.11407974434246218,37829,47652,30,3070,50722,0.5726058635599056,xgb_d8_sqrt_weight,XGBoost
0.0140542546287179,0.06026343167854269,0.9903225806451613,0.11361323390633384,37608,47873,30,3070,50943,0.5751007552409659,xgb_d8_sqrt_weight,XGBoost
0.01392233744263649,0.06000078176914357,0.9903225806451613,0.11314635314930158,37385,48096,30,3070,51166,0.5776182251272847,xgb_d8_sqrt_weight,XGBoost
0.013797427527606487,0.059741573908305444,0.9903225806451613,0.11268536191454999,37163,48318,30,3070,51388,0.5801244059109741,xgb_d8_sqrt_weight,XGBoost
